Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-08-30,Pitch Perfect 2,2015,https://boxd.it/7deHS7,3.5,Yes,its not that good but i am an immature easily entertained and small minded girl that still found this funny,,2024-08-29
2024-08-30,Pitch Perfect 3,2017,https://boxd.it/7dphVL,2,Yes,i miss when pitch perfect was about acapella and not an aca-action ,,2024-08-29
2024-08-31,Whiplash,2014,https://boxd.it/7dP74z,5,Yes,hated each other and simultaneously matched each others freaks,train time,2024-08-30
2024-09-01,High School Musical 3: Senior Year,2008,https://boxd.it/7enlrb,5,Yes,movie so good even tiara and rocketmans existences don’t deduct stars,,2024-09-01
2024-09-03,Never Been Kissed,1999,https://boxd.it/7fiEoz,2,,IS THERE ONLY ONE CLUB IN THIS TOWN?????,,2024-09-02
2024-09-03,Baby Driver,2017,https://boxd.it/7fqQhV,4,Yes,yuppppp baby by justin bieber is canonically about baby,,2024-09-03
2024-09-04,Priscilla,2023,https://boxd.it/7fCC9n,3,,thats fucked up broo hes fucked uppp,,2024-09-03
2024-09-05,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/7geMyD,3.5,Yes,dw rodrick id save you if you were drowning,,2024-09-04
2024-09-09,The First Time,2012,https://boxd.it/7i9dHj,3.5,Yes,crazy that this is all one weekend,background noise,2024-09-08
2024-09-10,American Assassin,2017,https://boxd.it/7iA90f,2,Yes,i suddenly remember why ive never rewatched this ,background noise,2024-09-09
2024-09-13,Glee: The Concert Movie,2011,https://boxd.it/7jHJED,2.5,,i just assumed this was a recording of the glee concerts no one told me i was gonna hear stories from some ppl ive never heard of,background noise,2024-09-12
2024-09-15,Everything Everywhere All at Once,2022,https://boxd.it/7kn6Z7,5,Yes,cried AT LEAST 10 times all before 1pm 👍🏻,"in theatres, i cry",2024-09-14
2024-09-15,Because I Said So,2007,https://boxd.it/7kFRKz,2.5,,messy ass film but i love gabriel macht and mandy moore too much ,,2024-09-14
2024-09-26,La La Land,2016,https://boxd.it/7ptSBp,5,Yes,lets start the mandela effect that the last 10 minutes of this don’t exist,background noise,2024-09-26
