Date,Name,Year,Letterboxd URI,Rating
2025-03-25,Puppy Love,2023,https://boxd.it/HeaE,2.5
2025-03-28,Back to the Future,1985,https://boxd.it/2b8e,4.5
2025-03-29,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2025-03-30,Back to the Future Part III,1990,https://boxd.it/2aTS,3
2025-03-30,The Gorge,2025,https://boxd.it/zRqK,3
2025-03-31,Knives Out,2019,https://boxd.it/jWEA,4.5
2025-04-01,Death of a Unicorn,2025,https://boxd.it/HCPm,2.5
2025-04-07,Glass Onion,2022,https://boxd.it/oCkK,4
2025-04-28,Past Lives,2023,https://boxd.it/oNB8,4.5
2025-05-06,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,2
2025-05-06,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5
2025-05-07,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4
2025-05-09,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2025-05-09,Star Wars,1977,https://boxd.it/72s,3.5
2025-05-11,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2025-05-13,Return of the Jedi,1983,https://boxd.it/27Vm,4.5
2025-05-14,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2025-05-15,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2025-05-16,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1
2025-05-16,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,1.5
2025-05-17,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly,2.5
2025-05-18,A Simple Favor,2018,https://boxd.it/hq92,3.5
2025-05-18,Another Simple Favor,2025,https://boxd.it/AO6k,1.5
2025-05-20,When Harry Met Sally...,1989,https://boxd.it/29W2,5
2025-05-21,Sinners,2025,https://boxd.it/KQMM,4
2025-05-22,Jumper,2008,https://boxd.it/20ss,3.5
2025-05-25,Trainspotting,1996,https://boxd.it/29XY,4
2025-05-25,T2 Trainspotting,2017,https://boxd.it/5vTA,3
2025-05-25,Worth the Wait,2025,https://boxd.it/HaXM,2.5
2025-05-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2025-05-28,Grease,1978,https://boxd.it/29YW,3.5
2025-05-28,Grease 2,1982,https://boxd.it/1Zk8,3.5
2025-05-30,Notting Hill,1999,https://boxd.it/2aeK,3
2025-05-31,Step Up,2006,https://boxd.it/1XS8,4
2025-06-01,Step Up 2: The Streets,2008,https://boxd.it/20mk,2.5
2025-06-02,Step Up 3D,2010,https://boxd.it/ZS8,2.5
2025-06-02,Step Up Revolution,2012,https://boxd.it/31yo,3
2025-06-03,Step Up All In,2014,https://boxd.it/79Wc,2
2025-06-04,But I'm a Cheerleader,1999,https://boxd.it/1CW4,3.5
2025-06-06,One Direction: This Is Us,2013,https://boxd.it/57km,5
2025-06-06,Dead Poets Society,1989,https://boxd.it/2aSg,5
2025-06-08,I Am Love,2009,https://boxd.it/10ac,3.5
2025-06-08,A Bigger Splash,2015,https://boxd.it/azgs,3.5
2025-06-09,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2025-06-10,Suspiria,2018,https://boxd.it/cioI,4
2025-06-12,While You Were Sleeping,1995,https://boxd.it/27wm,4.5
2025-06-12,Bones and All,2022,https://boxd.it/tLd4,4.5
2025-06-13,Queer,2024,https://boxd.it/E4RW,3
2025-06-14,Bedtime Stories,2008,https://boxd.it/1WPM,3
2025-06-15,Materialists,2025,https://boxd.it/GZlW,4.5
