Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2023-07-01,Hamilton,2020,5.0,Yes,,2023-06-30,https://boxd.it/kmvE,True
2023-07-14,The Matrix,1999,4.0,No,,2023-07-13,https://boxd.it/2a1m,True
2023-07-17,Inception,2010,4.5,No,,2023-07-16,https://boxd.it/1skk,True
2023-07-22,Ghost in the Shell,1995,3.5,No,,2023-07-21,https://boxd.it/1YYc,True
2023-07-26,Ex Machina,2015,5.0,No,,2023-07-25,https://boxd.it/7T2k,True
2023-07-30,Teen Beach Movie,2013,4.0,Yes,,2023-07-29,https://boxd.it/5rKa,True
2023-07-31,Barbie,2023,5.0,No,in theatres,2023-07-30,https://boxd.it/bCLK,True
2023-08-01,Annihilation,2018,3.5,No,,2023-07-31,https://boxd.it/9yzm,False
2023-08-14,Twelve Monkeys,1995,4.0,No,,2023-08-13,https://boxd.it/2beQ,True
2023-08-16,Minority Report,2002,4.0,No,,2023-08-16,https://boxd.it/2aWi,False
2023-08-28,27 Dresses,2008,3.5,Yes,,2023-08-28,https://boxd.it/21x4,True
2023-09-18,The Imitation Game,2014,4.0,No,,2023-09-17,https://boxd.it/6aig,True
2023-09-19,Little Miss Sunshine,2006,5.0,No,,2023-09-18,https://boxd.it/29EW,True
2023-09-21,Me Before You,2016,2.5,No,,2023-09-20,https://boxd.it/9n98,False
2023-09-28,21 Jump Street,2012,5.0,Yes,,2023-09-27,https://boxd.it/J0,True
2023-09-30,22 Jump Street,2014,4.0,Yes,,2023-09-29,https://boxd.it/5Fvy,True
2023-10-17,Taylor Swift: The Eras Tour,2023,5.0,No,in theatres,2023-10-16,https://boxd.it/HTIi,True
2023-10-19,"Red, White & Royal Blue",2023,4.0,No,,2023-10-18,https://boxd.it/z3iG,True
2023-10-30,The Other Zoey,2023,2.5,No,,2023-10-29,https://boxd.it/ynHY,False
2023-11-02,The Rocky Horror Picture Show,1975,3.0,No,,2023-11-01,https://boxd.it/1a3q,True
