Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-09-03,Baby Driver,2017,https://boxd.it/7fqQhV,4,Yes,,2024-09-03
2024-09-04,Priscilla,2023,https://boxd.it/7fCC9n,3,,,2024-09-03
2024-09-05,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/7geMyD,3.5,Yes,,2024-09-04
2024-09-09,The First Time,2012,https://boxd.it/7i9dHj,3.5,Yes,background noise,2024-09-08
2024-09-10,American Assassin,2017,https://boxd.it/7iA90f,2,Yes,background noise,2024-09-09
2024-09-13,Glee: The Concert Movie,2011,https://boxd.it/7jHJED,2.5,,background noise,2024-09-12
2024-09-15,Everything Everywhere All at Once,2022,https://boxd.it/7kn6Z7,5,Yes,"in theatres, i cry",2024-09-14
2024-09-15,Because I Said So,2007,https://boxd.it/7kFRKz,2.5,,,2024-09-14
2024-09-26,La La Land,2016,https://boxd.it/7ptSBp,5,Yes,background noise,2024-09-26
2024-10-01,Arrival,2016,https://boxd.it/7ryxYb,4,,background noise,2024-09-30
2024-10-04,Challengers,2024,https://boxd.it/7t2L1h,4.5,Yes,background noise,2024-10-03
2024-10-15,Saturday Night,2024,https://boxd.it/7yAMvb,4,,in theatres,2024-10-14
2024-10-17,Scream,1996,https://boxd.it/7zntWb,3.5,,,2024-10-16
2024-10-18,The Fall Guy,2024,https://boxd.it/7zSyyb,4,,train time,2024-10-17
2024-10-31,Wizards of Waverly Place: The Movie,2009,https://boxd.it/7GJB99,5,Yes,,2024-10-30
2024-11-01,The Rocky Horror Picture Show,1975,https://boxd.it/7HkVVV,5,Yes,"in theatres, on stage",2024-10-31
2024-11-05,Scream 2,1997,https://boxd.it/7JuihP,3,,,2024-11-04
2024-11-07,"Red, White & Royal Blue",2023,https://boxd.it/7KrUc7,4,Yes,,2024-11-06
2024-11-13,We Live in Time,2024,https://boxd.it/7NxVF9,4.5,,in theatres,2024-11-12
2024-11-22,Wicked,2024,https://boxd.it/7ROMar,5,,in theatres,2024-11-21
2024-11-28,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/7V0vkb,4.5,Yes,background noise,2024-11-27
2024-12-16,Moulin Rouge!,2001,https://boxd.it/848AtJ,3.5,,,2024-12-15
2024-12-27,Inside Out 2,2024,https://boxd.it/8bnqd5,3,,,2024-12-26
2024-12-28,Moulin Rouge!,2001,https://boxd.it/8cfl9F,3.5,Yes,,2024-12-27
2024-12-30,Moulin Rouge!,2001,https://boxd.it/8dNRPP,4.5,Yes,on stage,2024-12-29
2025-01-01,High School Musical 3: Senior Year,2008,https://boxd.it/8fYWZv,5,Yes,,2025-01-01
2025-01-10,Everyone is Doing Great,2018,https://boxd.it/8p3jLl,3,,,2025-01-09
2025-01-19,Sixteen Candles,1984,https://boxd.it/8wMd3v,1,,,2025-01-18
2025-01-19,Mr. & Mrs. Smith,2005,https://boxd.it/8wZtel,5,Yes,,2025-01-18
2025-01-29,One of Them Days,2025,https://boxd.it/8ELzA7,4,,in theatres,2025-01-28
2025-02-28,A Walk to Remember,2002,https://boxd.it/8YxgAz,5,Yes,i cry,2025-02-27
2025-03-14,Mickey 17,2025,https://boxd.it/97gfp3,3.5,,in theatres,2025-03-13
2025-03-23,Puppy Love,2023,https://boxd.it/9cK1OX,2.5,,,2025-03-22
2025-03-24,Bottled with Love,2019,https://boxd.it/9dvoBV,3.5,Yes,,2025-03-23
2025-03-25,Bride Wars,2009,https://boxd.it/9e2Wp1,3,,,2025-03-24
2025-03-28,Back to the Future,1985,https://boxd.it/9fiGn5,4.5,Yes,background noise,2025-03-27
2025-03-29,Back to the Future Part II,1989,https://boxd.it/9fKHGD,4,Yes,background noise,2025-03-28
2025-03-30,Back to the Future Part III,1990,https://boxd.it/9gmB8V,3,Yes,background noise,2025-03-29
2025-03-30,The Gorge,2025,https://boxd.it/9gIJaJ,3,,,2025-03-29
2025-03-31,Knives Out,2019,https://boxd.it/9hriYn,4.5,,,2025-03-30
2025-04-01,Death of a Unicorn,2025,https://boxd.it/9hRM5p,2.5,,in theatres,2025-03-31
2025-04-07,Glass Onion,2022,https://boxd.it/9lngkj,4,,,2025-04-06
2025-04-11,Snow White,2025,https://boxd.it/9ngAH7,1.5,,in theatres,2025-04-10
2025-04-29,Past Lives,2023,https://boxd.it/9y4rT9,4.5,,i cry,2025-04-28
2025-05-04,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/9B0gvp,2,,,2025-05-03
2025-05-07,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/9CP8pT,2.5,,,2025-05-06
2025-05-07,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/9D2P2z,4,,,2025-05-06
2025-05-08,Solo: A Star Wars Story,2018,https://boxd.it/9DlvtX,1.5,,background noise,2025-05-07
2025-05-09,Rogue One: A Star Wars Story,2016,https://boxd.it/9E0EFZ,4,Yes,,2025-05-08
2025-05-10,Star Wars,1977,https://boxd.it/9EfWrB,3.5,Yes,,2025-05-09
2025-05-11,The Empire Strikes Back,1980,https://boxd.it/9FbgdN,4.5,Yes,,2025-05-10
2025-05-13,Return of the Jedi,1983,https://boxd.it/9GmVcR,4.5,Yes,,2025-05-12
2025-05-15,Star Wars: The Force Awakens,2015,https://boxd.it/9H4xWz,3,Yes,,2025-05-14
2025-05-15,Star Wars: The Last Jedi,2017,https://boxd.it/9HqCxt,3,Yes,,2025-05-14
2025-05-17,Star Wars: The Rise of Skywalker,2019,https://boxd.it/9I8qLV,1,Yes,,2025-05-16
2025-05-17,Star Wars: The Clone Wars,2008,https://boxd.it/9IrZ7p,2.5,,,2025-05-16
2025-05-18,A Simple Favor,2018,https://boxd.it/9J5OYx,3.5,,,2025-05-17
2025-05-19,Another Simple Favor,2025,https://boxd.it/9JDZKT,1.5,,,2025-05-18
2025-05-20,When Harry Met Sally...,1989,https://boxd.it/9KomKf,5,,,2025-05-19
2025-05-21,Sinners,2025,https://boxd.it/9KT9K9,4,,in theatres,2025-05-20
2025-05-22,Jumper,2008,https://boxd.it/9LsBhJ,3.5,,,2025-05-21
